,precision,recall,f1-score,support
Normal,0.7643979057591623,0.9605263157894737,0.8513119533527697,152.0
Doubtful,0.8108108108108109,0.6206896551724138,0.703125,145.0
Mild,0.6557377049180327,0.5714285714285714,0.6106870229007634,70.0
Moderate,0.9555555555555556,0.6515151515151515,0.7747747747747747,66.0
Severe,0.6896551724137931,0.967741935483871,0.8053691275167785,62.0
accuracy,0.7656565656565657,0.7656565656565657,0.7656565656565657,0.7656565656565657
macro avg,0.7752314298914709,0.7543803258778963,0.7490535757090173,495.0
weighted avg,0.7787534867546351,0.7656565656565657,0.7579164738461612,495.0
