epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3945430815219879,0.0010000000474974513,1.5783989429473877,0.4562545120716095,0.27327847480773926,0.4979838728904724,1.2009556293487549,0.75,0.2358870953321457
1,0.5179731249809265,0.0010000000474974513,1.2099459171295166,0.5956632494926453,0.40450412034988403,0.625,1.0182775259017944,0.7217742204666138,0.3608871102333069
2,0.563880443572998,0.0010000000474974513,1.0996899604797363,0.6229698657989502,0.46513640880584717,0.6572580933570862,0.9226433038711548,0.7628205418586731,0.47983869910240173
3,0.6063230633735657,0.0010000000474974513,1.0144665241241455,0.6576271057128906,0.5041143298149109,0.7036290168762207,0.8137717247009277,0.7690288424491882,0.5907257795333862
4,0.6119531989097595,0.0010000000474974513,0.996839165687561,0.6727272868156433,0.528800368309021,0.7177419066429138,0.7773312926292419,0.7846153974533081,0.6169354915618896
474,0.5947580933570862
5,0.623213529586792,9.999999747378752e-05,0.8855921626091003,0.6921385526657104,0.5452576875686646,0.7379032373428345,0.7612563371658325,0.8060453534126282,0.6451612710952759
6,0.6574274301528931,9.999999747378752e-05,0.8351766467094421,0.7240451574325562,0.5829363465309143,0.7520161271095276,0.7456803917884827,0.7971014380455017,0.6653226017951965
5,0.6491987705230713,9.999999747378752e-05,0.8922985792160034,0.703643262386322,0.5604157447814941,0.7278226017951965,0.7321627140045166,0.7914572954177856,0.6350806355476379
7,0.6556950807571411,9.999999747378752e-05,0.8416814208030701,0.7096773982048035,0.5716760754585266,0.7338709831237793,0.7435083985328674,0.7904762029647827,0.6693548560142517
6,0.6665223240852356,9.999999747378752e-05,0.8437517285346985,0.7277686595916748,0.5777392983436584,0.7540322542190552,0.6844959855079651,0.8069767355918884,0.6995967626571655
8,0.6734517216682434,9.999999747378752e-05,0.8053879737854004,0.7354024052619934,0.6054568886756897,0.7600806355476379,0.6589847803115845,0.8190255165100098,0.711693525314331
7,0.6708531975746155,9.999999747378752e-05,0.8576571941375732,0.7236497402191162,0.5976613163948059,0.7419354915618896,0.6722403168678284,0.79350346326828,0.6895161271095276
9,0.686877429485321,9.999999747378752e-05,0.7711660861968994,0.7412257790565491,0.6128193736076355,0.7620967626571655,0.6629191637039185,0.8146452903747559,0.7177419066429138
8,0.6643568873405457,9.999999747378752e-05,0.8263235688209534,0.7258583903312683,0.5859679579734802,0.7620967626571655,0.7034140229225159,0.7862069010734558,0.6895161271095276
10,0.6925075650215149,9.999999747378752e-05,0.7538927793502808,0.7440166473388672,0.6193157434463501,0.7600806355476379,0.6503469347953796,0.8156028389930725,0.6955645084381104
9,0.6855781674385071,9.999999747378752e-05,0.7737512588500977,0.7393364906311035,0.6080554127693176,0.7600806355476379,0.6137563586235046,0.8095238208770752,0.7197580933570862
11,0.6946730017662048,9.999999747378752e-05,0.7502515912055969,0.7419519424438477,0.6288436651229858,0.7983871102333069,0.6248910427093506,0.8306998014450073,0.7419354915618896
10,0.6946730017662048,9.999999747378752e-05,0.7582269906997681,0.7554067969322205,0.6353399753570557,0.7600806355476379,0.6157870292663574,0.8045454621315002,0.7137096524238586
12,0.7098311185836792,9.999999747378752e-05,0.7386924624443054,0.756481945514679,0.6444348096847534,0.7842742204666138,0.6089518666267395,0.8292682766914368,0.7540322542190552
11,0.7076656818389893,9.999999747378752e-05,0.7355937361717224,0.755091667175293,0.6422693729400635,0.7681451439857483,0.6385956406593323,0.7977527976036072,0.7157257795333862
13,0.7219575643539429,9.999999747378752e-05,0.6886377930641174,0.7686116695404053,0.6617583632469177,0.7520161271095276,0.6763956546783447,0.7926267385482788,0.6935483813285828
12,0.7098311185836792,9.999999747378752e-05,0.7296192049980164,0.7639105319976807,0.6362061500549316,0.7762096524238586,0.5780972242355347,0.8185940980911255,0.7278226017951965
14,0.7275876998901367,9.999999747378752e-05,0.6827902793884277,0.7725236415863037,0.6721524596214294,0.7822580933570862,0.6163867712020874,0.8253968358039856,0.7338709831237793
13,0.7206583023071289,9.999999747378752e-05,0.7074642181396484,0.7674066424369812,0.658726692199707,0.7721773982048035,0.5754287838935852,0.8352668285369873,0.725806474685669
15,0.7349501848220825,9.999999747378752e-05,0.6779073476791382,0.7742094993591309,0.6786487698554993,0.7842742204666138,0.627892792224884,0.8065217137336731,0.7479838728904724
14,0.7310523986816406,9.999999747378752e-05,0.679949164390564,0.7805372476577759,0.6669554114341736,0.7439516186714172,0.6863282918930054,0.7708779573440552,0.725806474685669
16,0.7375487089157104,2.9999999242136255e-05,0.6568401455879211,0.7808904647827148,0.6760502457618713,0.7963709831237793,0.5859407782554626,0.8181818127632141,0.7439516186714172
15,0.7336509227752686,9.999999747378752e-05,0.6782018542289734,0.7748639583587646,0.6782156825065613,0.7822580933570862,0.575499415397644,0.807947039604187,0.7379032373428345
17,0.7479428052902222,2.9999999242136255e-05,0.621417224407196,0.7974116206169128,0.6938068270683289,0.8185483813285828,0.5478016138076782,0.8476821184158325,0.774193525314331
16,0.7518406510353088,9.999999747378752e-05,0.6376082301139832,0.8010939955711365,0.6977046132087708,0.7479838728904724,0.6591907739639282,0.7591397762298584,0.711693525314331
18,0.7475097179412842,2.9999999242136255e-05,0.6450569033622742,0.7891358137130737,0.6920744776725769,0.8165322542190552,0.5462771654129028,0.8427947759628296,0.7782257795333862
19,0.7462104558944702,2.9999999242136255e-05,0.624138593673706,0.7843719124794006,0.686877429485321,0.7983871102333069,0.5636938810348511,0.8267543911933899,0.7600806355476379
17,0.7622347474098206,2.9999999242136255e-05,0.625597357749939,0.8104218244552612,0.7072325944900513,0.7963709831237793,0.5566919445991516,0.8209607005119324,0.7580645084381104
20,0.7605023980140686,2.9999999242136255e-05,0.5961440205574036,0.7972642779350281,0.7067995071411133,0.7983871102333069,0.5745836496353149,0.8177874088287354,0.7600806355476379
18,0.7384148836135864,2.9999999242136255e-05,0.6485243439674377,0.7882703542709351,0.686877429485321,0.8024193644523621,0.5262703895568848,0.8355262875556946,0.7681451439857483
21,0.7592031359672546,2.9999999242136255e-05,0.6063075661659241,0.802450954914093,0.7089649438858032,0.8084677457809448,0.5542492866516113,0.8373101949691772,0.7782257795333862
19,0.7509744763374329,2.9999999242136255e-05,0.6307586431503296,0.7860240936279297,0.7063664197921753,0.8125,0.5306092500686646,0.8365591168403625,0.7842742204666138
22,0.7626678347587585,8.999999408842996e-06,0.604728639125824,0.8004866242408752,0.7124296426773071,0.8004032373428345,0.5483672618865967,0.8329718112945557,0.774193525314331
20,0.7600693106651306,2.9999999242136255e-05,0.5992441773414612,0.8015678524971008,0.7085318565368652,0.8104838728904724,0.5112707614898682,0.8329809904098511,0.7943548560142517
21,0.7561715245246887,2.9999999242136255e-05,0.5953289270401001,0.7921760678291321,0.7016023993492126,0.8185483813285828,0.49451690912246704,0.847161591053009,0.7822580933570862
23,0.7674317955970764,8.999999408842996e-06,0.5896609425544739,0.8113391995429993,0.718925952911377,0.8125,0.538288414478302,0.8401727676391602,0.7842742204666138
22,0.7786920666694641,2.9999999242136255e-05,0.5744940042495728,0.811229407787323,0.7258553504943848,0.8245967626571655,0.4932820200920105,0.85161292552948,0.7983871102333069
24,0.7739281058311462,8.999999408842996e-06,0.583070695400238,0.809108555316925,0.7232568264007568,0.8064516186714172,0.5439547300338745,0.8333333134651184,0.7762096524238586
